,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,month_added,month_name_added,year_added,listed_in_1,listed_in_2,listed_in_3,duration_seasons
965,TV Show,Yasuke,Data not available,"LaKeith Stanfield, Takehiro Hira, Maya Tanida, Ian Chen, Gwendoline Yeo, Ming-Na Wen, Noshir Dalal, Paul Nakauchi, Darren Criss, Dia Frampton, William Christopher Stephens, Julie Marcus, Greg Chun, Dan Donohue, Johnny Yong Bosch, Michael Sinterniklaas, Amy Hill, Emily Woo Zeller, Keone Young",United States,2021-04-29,2021,TV-MA,1 Season,"Anime Series, International TV Shows",A peaceful boatman once known as the Black Samurai is pulled back into conflict when he takes a little girl with mysterious powers under his wing.,4,April,2021,Anime Series, International TV Shows,0,1
967,TV Show,Headspace Guide to Sleep,Data not available,Evelyn Lewis Prieto,United States,2021-04-28,2021,TV-G,1 Season,"Docuseries, Science & Nature TV","Learn how to sleep better with Headspace. Each episode unpacks misconceptions, offers friendly tips and concludes with a guided wind-down.",4,April,2021,Docuseries, Science & Nature TV,0,1
968,TV Show,Sexify,Data not available,"Aleksandra Skraba, Maria Sobocińska, Sandra Drzymalska, Piotr Pacek, Kamil Wodka, Jan Wieteska, Wojciech Solarz",Poland,2021-04-28,2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas","To build an innovative sex app and win a tech competition, a sexually inexperienced student and her friends must explore the daunting world of intimacy.",4,April,2021,International TV Shows, TV Comedies, TV Dramas,1
972,TV Show,Fatma,Data not available,"Burcu Biricik, Uğur Yücel, Mehmet Yılmaz Ak, Hazal Türesan, Gülçin Kültür Şahin, Olgun Toker, Çağdaş Onur Öztürk, Şehsuvar Aktaş, Deniz Şen Hamzaoğlu, Didem İnselel",Turkey,2021-04-27,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers","Reeling from tragedy, a nondescript house cleaner embarks on a murderous streak as she searches for her missing husband and reckons with old wounds.",4,April,2021,International TV Shows, TV Dramas, TV Thrillers,1
988,TV Show,Let's Fight Ghost,Kongkiat Khomsiri,"Suppapong Udomkaewkanjana, Patchanan Jiajirachote, Thongpoom Siripipat, Apiwit Reardon, Kornrawich Sungkitbool, Waratthaya Wongchayaporn, Wannasak Sirilar",Thailand,2021-04-23,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","A med student with a supernatural gift tries to cash in on his abilities by facing off against ghosts, till a wandering spirit brings romance instead.",4,April,2021,International TV Shows, Romantic TV Shows, TV Comedies,1
993,TV Show,Shadow and Bone,Data not available,"Jessie Mei Li, Archie Renaux, Ben Barnes, Freddy Carter, Amita Suman, Kit Young, Danielle Galligan, Calahan Skogman, Sujaya Dasgupta, Simon Sears, Daisy Head, Zoë Wanamaker, Luke Pasqualino, Julian Kostov",United States,2021-04-23,2021,TV-14,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,4,April,2021,TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy,1
997,TV Show,Life in Color with David Attenborough,Data not available,David Attenborough,"Australia, United Kingdom",2021-04-22,2021,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows","Using innovative technology, this docuseries explores nature from a fresh perspective as animals use color to survive and thrive in the wild.",4,April,2021,British TV Shows, Docuseries, International TV Shows,1
1003,TV Show,Zero,Data not available,"Giuseppe Dave Seke, Haroun Fall, Beatrice Grannò, Dylan Magon, Daniela Scattolin, Madior Fall, Virgina Diop",Italy,2021-04-21,2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas","A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream.",4,April,2021,International TV Shows, TV Comedies, TV Dramas,1
1004,TV Show,Izzy's Koala World,Data not available,"Izzy Bee, Ali Bee, Tim Bee",Australia,2021-04-20,2021,TV-Y,2 Seasons,Kids' TV,Young koala caretaker Izzy Bee and her family rescue cuddly creatures in need and help them head back into the wild on Australia’s Magnetic Island.,4,April,2021,Kids' TV,0,0,2
1012,TV Show,Luis Miguel - The Series,Data not available,"Diego Boneta, Juan Pablo Zurita, Camila Sodi, Óscar Jaenada, Izan Llunas, Paulina Dávila, Martín Bello, Anna Favella, César Bordón, Vanessa Bauche",Mexico,2021-04-19,2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas","This series dramatizes the life story of Mexican superstar singer Luis Miguel, who has captivated audiences in Latin America and beyond for decades.",4,April,2021,International TV Shows, Spanish-Language TV Shows, TV Dramas,2
1014,TV Show,PJ Masks,Data not available,"Jacob Ewaniuk, Kyle Breitkopf, Addison Holley","France, United Kingdom",2021-04-19,2019,TV-Y,3 Seasons,Kids' TV,"Three 6-year-old kids who live normal lives during the day become superheroes at night, fighting crime as a team known as PJ Masks.",4,April,2021,Kids' TV,0,0,3
1025,TV Show,Bakugan: Geogan Rising,Data not available,"Jonah Wineberg, Margarita Valderrama, Deven Christian Mack, Jaimee Joe Gonzaga, Sharjil Rasool, Will Bowes, Jason Deline, Dan Petronijevic, Carling Doubt, Joshua Graham, Cory Doran",United States,2021-04-16,2021,TV-Y7,1 Season,"Anime Series, Kids' TV","The Awesome Brawlers band together to fight off a powerful enemy determined to break the bond between Earth and Vestroia, the Bakugan's home planet.",4,April,2021,Anime Series, Kids' TV,0,1
1032,TV Show,Love Naggers,Data not available,"Seo Jang-hoon, Kim Sook, Han Hye-jin, Kwak Jung-eun, Ju Wu-jae",South Korea,2021-04-16,2021,TV-14,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows","From the quirky to the scandalous, any relationship is fair game for a panel of love experts who comb over text messages and revel in reenactments.",4,April,2021,International TV Shows, Stand-Up Comedy & Talk Shows,0,1
1038,TV Show,Dancing Angels,Data not available,Data not available,United States,2021-04-15,2016,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","A group of aspiring young musicians yearn for stardom while navigating the ups and downs of friendship, romance, and life at school.",4,April,2021,International TV Shows, Romantic TV Shows, TV Comedies,1
1040,TV Show,Durarara!!,Data not available,"Toshiyuki Toyonaga, Miyuki Sawashiro, Mamoru Miyano, Kana Hanazawa, Hiroshi Kamiya, Daisuke Ono, Jun Fukuyama, Yuichi Nakamura, Yuki Kaji, Ayahi Takagaki, Kazuma Horie, Sanae Kobayashi, Takaya Kuroda, Kari Wahlgren, Darrel Guilbeau, Bryce Papenbrook, Michelle Ruff, Johnny Yong Bosch, Crispin Freeman, Yuri Lowenthal, Steve Blum",Japan,2021-04-15,2016,TV-MA,1 Season,"Anime Series, Crime TV Shows, International TV Shows","A young man looking for excitement moves to Ikebukuro, a district in Tokyo, where he finds a world of mystery in which the past and present mesh.",4,April,2021,Anime Series, Crime TV Shows, International TV Shows,1
1042,TV Show,Garth Brooks: The Road I’m On,Glenn Weiss,Garth Brooks,United States,2021-04-15,2019,TV-PG,1 Season,Docuseries,"Revealing interviews and archive footage tell the story of Garth Brooks' humble beginnings, rise to fame and unprecedented impact on country music.",4,April,2021,Docuseries,0,0,1
1043,TV Show,Gilmore Girls,Data not available,"Lauren Graham, Alexis Bledel, Scott Patterson, Keiko Agena, Yanic Truesdale, Kelly Bishop, Edward Herrmann, Melissa McCarthy, Sean Gunn, Liza Weil, Liz Torres, Jared Padalecki",United States,2021-04-15,2006,TV-14,7 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas","Fiercely independent single mom Lorelai raises gifted, Ivy League-bound daughter Rory amid a continual stream of quick-witted repartee.",4,April,2021,Romantic TV Shows, TV Comedies, TV Dramas,7
1044,TV Show,High-Rise Invasion,Data not available,"Haruka Shiraishi, Shiki Aoki, Akira Sekine, Junya Enoki, Yuuichirou Umehara, Megumi Ogata, Shoya Chiba, Makoto Furukawa, Seiro Ogino, Koji Yusa, Chika Anzai, Asami Seto, Shizuka Ito, Juri Kimura, Kaito Ishikawa, Yoko Hikasa, Jun Fukuyama",Japan,2021-04-15,2021,TV-MA,1 Season,"Anime Series, International TV Shows, TV Thrillers","High schooler Yuri finds herself atop a skyscraper in a strange world, where she must survive against masked assailants bent on killing their prey.",4,April,2021,Anime Series, International TV Shows, TV Thrillers,1
1045,TV Show,Next in Fashion,Data not available,"Tan France, Alexa Chung",United States,2021-04-15,2020,TV-14,1 Season,Reality TV,"Talented designers from around the world compete for $250,000 and the chance to become the next big thing in fashion.",4,April,2021,Reality TV,0,0,1
1047,TV Show,Peasants Rebellion,Data not available,"Ward El Kal, Aimée Sayah, Bassem Moughnie, Carlos Azar, Sara Abi Kanaan, Wesam Hanna",Lebanon,2021-04-15,2018,TV-14,1 Season,"International TV Shows, TV Dramas","In feudalistic Lebanon, farmers revolt against the nobility under the leadership of a revolutionary figure who champions the oppressed.",4,April,2021,International TV Shows, TV Dramas,0,1
1048,TV Show,Power Players,Data not available,"Kieran Walton, Carlos Salazar, Greg Chun, Jamieson Price, Reba Buhr, Todd Haberkorn, Landon McDonald, Scott Whyte, Paul Haapaniemi","United States, France",2021-04-15,2020,TV-Y,3 Seasons,Kids' TV,A kid transforms into an action figure-sized superhero and teams with his toys in a fight against a villainous robot to save the world.,4,April,2021,Kids' TV,0,0,3
1049,TV Show,Ricky Zoom,Data not available,"Max Fincham, Twinkle Jaiswal, Bradley Bissett, Dylan Naden, Adam Longworth, Ashton Frank, Edward Moloney, Esther Coles, Jess Robinson, Miranda Pointer, Osian Thompson, Simon Lipkin, Richard David-Caine","China, United Kingdom",2021-04-15,2019,TV-Y,1 Season,"British TV Shows, Kids' TV",Race along with Ricky Zoom and his loyal Bike Buddies as they zip around their two-wheeled town of Wheelford on rescue missions and learn speedy stunts!,4,April,2021,British TV Shows, Kids' TV,0,1
1051,TV Show,Sonic X,Data not available,"Junichi Kanemaru, Sanae Kobayashi, Ryo Hirohashi, Taeko Kawata, Nobutoshi Canna, Koji Yusa, Rumi Ochiai, Sayaka Aoki, Chikao Otsuka",Japan,2021-04-15,2003,TV-Y7,2 Seasons,"Anime Series, Kids' TV","A mission gone awry transports Sonic the Hedgehog, his friends, Dr. Eggman and the Chaos Emeralds to another dimension: Earth.",4,April,2021,Anime Series, Kids' TV,0,2
1056,TV Show,Ajaibnya Cinta,Data not available,Data not available,United States,2021-04-14,2015,TV-PG,1 Season,"International TV Shows, TV Dramas","Upon returning home from his studies abroad, young grad Akif finds himself involved with four women in this continuation of the series ""Spain Uoolss.""",4,April,2021,International TV Shows, TV Dramas,0,1
1057,TV Show,Dad Stop Embarrassing Me!,Data not available,"Jamie Foxx, David Alan Grier, Kyla-Drew, Porscha Coleman, Jonathan Kite, Heather Hemmens, Valente Rodriguez",United States,2021-04-14,2021,TV-14,1 Season,TV Comedies,A single dad and cosmetics brand owner figures out fatherhood on the fly when his strong-minded teen daughter moves in with him.,4,April,2021,TV Comedies,0,0,1
1058,TV Show,Fate: The Winx Saga,Data not available,"Abigail Cowen, Hannah Van Der Westhuysen, Precious Mustapha, Eliot Salt, Elisha Applebaum, Danny Griffin, Sadie Soverall, Freddie Thorp, Rob James-Collier, Eve Best, Lesley Sharp","Italy, United Kingdom",2021-04-14,2021,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Dramas","Determined to master their enchanting powers, a group of teens navigate rivalry, romance and supernatural studies at Alfea, a magical boarding school.",4,April,2021,British TV Shows, International TV Shows, TV Dramas,1
1059,TV Show,House of Cards,Data not available,"Kevin Spacey, Robin Wright, Kate Mara, Corey Stoll, Sakina Jaffrey, Kristen Connolly, Constance Zimmer, Sebastian Arcelus, Nathan Darrow, Sandrine Holt, Michel Gill, Elizabeth Norment, Mahershala Ali, Reg E. Cathey, Molly Parker, Derek Cecil, Elizabeth Marvel, Kim Dickens, Lars Mikkelsen, Michael Kelly, Joel Kinnaman, Campbell Scott, Patricia Clarkson, Neve Campbell",United States,2021-04-14,2018,TV-MA,6 Seasons,"TV Dramas, TV Thrillers","A ruthless politician will stop at nothing to conquer Washington, D.C., in this Emmy and Golden Globe-winning political drama.",4,April,2021,TV Dramas, TV Thrillers,0,6
1060,TV Show,Indian Matchmaking,Data not available,Data not available,"United States, India",2021-04-14,2020,TV-14,1 Season,"Reality TV, Romantic TV Shows","Matchmaker Sima Taparia guides clients in the U.S. and India in the arranged marriage process, offering an inside look at the custom in a modern era.",4,April,2021,Reality TV, Romantic TV Shows,0,1
1061,TV Show,Jeffrey Epstein: Filthy Rich,Data not available,Data not available,United States,2021-04-14,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries",Stories from survivors fuel this docuseries examining how convicted sex offender Jeffrey Epstein used his wealth and power to carry out his abuses.,4,April,2021,Crime TV Shows, Docuseries,0,1
1062,TV Show,Law School,Data not available,"Kim Myung-min, Kim Beom, Ryu Hye-young, Lee Jung-eun, Park Hyuk-kwon, An Nae-sang, Chung Won-joong, Lee Su-kyoung, Lee David, Go Youn-jung, Hyunwoo",South Korea,2021-04-14,2021,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students.",4,April,2021,Crime TV Shows, International TV Shows, TV Dramas,1
1063,TV Show,Living with Yourself,Data not available,"Paul Rudd, Aisling Bea, Desmin Borges, Zoë Chao, Karen Pittman",United States,2021-04-14,2019,TV-MA,1 Season,"TV Comedies, TV Dramas","Burned out on life, Miles undergoes a strange procedure at a strip mall spa – and wakes to find he's been replaced by a better version of himself.",4,April,2021,TV Comedies, TV Dramas,0,1
1064,TV Show,Signal,Data not available,"Kim Hye-su, Lee Je-hoon, Cho Jin-woong, Jang Hyun-sung, Jeong Hae-gyoon, Kim Won-hae, Jung Han-bi, Lee Yu-jun, Son Hyeon-ju",South Korea,2021-04-14,2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows","Communicating via a walkie-talkie that transcends time, a profiler from 2015 and a detective from 1989 join forces to tackle crimes and injustice.",4,April,2021,Crime TV Shows, International TV Shows, Korean TV Shows,1
1065,TV Show,Slasher,Data not available,"Katie McGrath, Brandon Jay McLaren, Steve Byers, Patrick Garrow, Dean McDermott, Christopher Jacot, Wendy Crewson, Leslie Hope, Lovell Adams-Gray, Jim Watson, Paulino Nunes, Ty Olsson, Joanne Vannicola, Sebastian Pigott, Madison Cheeatow, Melinda Shankar, Kaitlyn Leeb, Rebecca Liddiard, Paula Brancati, Salvatore Antonio, Lisa Berry, Gabriel Darku, Erin Karpluk, Mercedes Morris, Ilan Muallem, Baraka Rahmani, Rosie Simon, Robert Cormier",Canada,2021-04-14,2019,TV-MA,3 Seasons,"TV Horror, TV Mysteries, TV Thrillers",Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.,4,April,2021,TV Horror, TV Mysteries, TV Thrillers,3
1067,TV Show,The Underclass,Pass Patthanakumjon,"Nannaphas Loetnamchoetsakun, Praewa Suthamphong, Sumitra Duangkaew, Tanutchai Wijitvongtong, Tarisa Preechatangkit, Natticha Chantaravareelekha, Miori Ohkubo, Pakwan Noijaiboon, Napaphat Worraphuttanon, Vathusiri Phuwapunyasiri, Rinrada Inthaisong, Suchaya Saenkhot, Mananya Kaoju, Kandis Wanarun, Ekapol Deebunmee, Panta Pattanaampaiwong, Rachaya Tupkunanon, Supasawad Buranawech, Thitirat Rojsangrat, Sawanee Utoomma, Phattharanarin Mueanarit, Chanyapuk Numprasop",Thailand,2021-04-14,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, Teen TV Shows","After getting dropped from an elite program, a student gets tangled in the affairs of a high school gang while trying to find her own identity.",4,April,2021,International TV Shows, TV Dramas, Teen TV Shows,1
1068,TV Show,Unnatural Selection,Data not available,Data not available,United States,2021-04-14,2019,TV-MA,1 Season,"Docuseries, Science & Nature TV","From eradicating disease to selecting a child’s traits, gene editing gives humans the chance to hack biology. Meet the real people behind the science.",4,April,2021,Docuseries, Science & Nature TV,0,1
1075,TV Show,My Love: Six Stories of True Love,"Moyoung Jin, Caroline Sá, Deepti Kakkar, Fahad Mustafa, Hikaru Toda, Chico Pereira, Elaine McMillion Sheldon",Data not available,"United States, Brazil, Japan, Spain, India",2021-04-13,2021,TV-PG,1 Season,Docuseries,Six longtime couples in different parts of the world share their decades-long love in these tender portraits filmed over the course of one year.,4,April,2021,Docuseries,0,0,1
1079,TV Show,The Baker and the Beauty,Data not available,"Victor Rasuk, Nathalie Kelley, Dan Bucatinsky, David Del Rio, Michelle Veintimilla, Lisa Vidal, Carlos Gómez, Belissa Escobedo","Israel, United States",2021-04-13,2020,TV-PG,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas","A Miami baker and a fashionista try to make romance work despite the heat they face from jealous exes, prying family members and invasive paparazzi.",4,April,2021,Romantic TV Shows, TV Comedies, TV Dramas,1
